Date,Open,High,Low,Close,Adj Close,Volume,Binary Sentiment Analysis
7/22/2019,0.18,0.18,0.165,0.17,0.17,21400,2
7/23/2019,0.1601,0.17,0.1553,0.17,0.17,14400,1
7/24/2019,0.16,0.177,0.156,0.1663,0.1663,163686,1
7/25/2019,0.175,0.175,0.175,0.175,0.175,100,1
7/26/2019,0.163,0.16925,0.156,0.16738,0.16738,124506,2
7/29/2019,0.1725,0.1725,0.1725,0.1725,0.1725,7661,1
7/30/2019,0.15745,0.1698,0.1558,0.1558,0.1558,24300,1
7/31/2019,0.1554,0.1749,0.1554,0.165,0.165,39952,1
8/1/2019,0.1558,0.163,0.1251,0.1399,0.1399,191620,1
8/2/2019,0.1612,0.1637,0.15206,0.1599,0.1599,55690,1
8/5/2019,0.16125,0.162,0.16125,0.162,0.162,27685,1
8/6/2019,0.16385,0.16385,0.1545,0.1545,0.1545,27646,1
8/7/2019,0.163,0.163,0.163,0.163,0.163,200,2
8/8/2019,0.15,0.15,0.13,0.15,0.15,27961,2
8/9/2019,0.164,0.1678,0.13468,0.1678,0.1678,81200,1
8/12/2019,0.1678,0.1678,0.1391,0.148,0.148,19450,2
8/13/2019,0.148,0.148,0.131,0.131,0.131,24375,1
8/14/2019,0.14696,0.15625,0.1365,0.15625,0.15625,126340,2
8/15/2019,0.14,0.165,0.14,0.165,0.165,32000,1
8/16/2019,0.14,0.16259,0.1383,0.16259,0.16259,22100,1
8/19/2019,0.16118,0.16371,0.1405,0.159,0.159,92358,2
8/20/2019,0.1499,0.173,0.1499,0.1729,0.1729,236252,1
8/21/2019,0.1729,0.1729,0.156,0.16,0.16,57644,1
8/22/2019,0.1501,0.171,0.1501,0.16109,0.16109,29963,1
8/23/2019,0.1729,0.1729,0.1501,0.1501,0.1501,25600,1
8/26/2019,0.18,0.18,0.165,0.175,0.175,558991,1
8/27/2019,0.16,0.17,0.1583,0.1583,0.1583,135875,1
8/28/2019,0.16,0.16,0.155,0.16,0.16,87833,1
8/29/2019,0.151,0.165,0.15,0.165,0.165,133347,1
8/30/2019,0.165,0.175,0.165,0.1738,0.1738,55792,1
9/3/2019,0.175,0.185,0.1607,0.1607,0.1607,126375,1
9/4/2019,0.1775,0.195,0.1672,0.17,0.17,261699,1
9/5/2019,0.17,0.187,0.1672,0.17255,0.17255,199684,1
9/6/2019,0.17075,0.1849,0.1696,0.1848,0.1848,114691,1
9/9/2019,0.1799,0.1999,0.171,0.1999,0.1999,102389,1
9/10/2019,0.195,0.1999,0.1723,0.1723,0.1723,370411,1
9/11/2019,0.17115,0.192,0.17115,0.18,0.18,24872,1
9/12/2019,0.18,0.218,0.18,0.205,0.205,579686,1
9/13/2019,0.217,0.217,0.18373,0.1851,0.1851,305939,2
9/16/2019,0.1852,0.1999,0.1852,0.1885,0.1885,106276,2
9/17/2019,0.1998,0.22,0.19,0.22,0.22,39418,1
9/18/2019,0.18,0.20235,0.18,0.1925,0.1925,74920,1
9/19/2019,0.1902,0.1998,0.1813,0.19,0.19,43129,1
9/20/2019,0.2247,0.2247,0.1827,0.18813,0.18813,57317,1
9/23/2019,0.18,0.1925,0.18,0.18506,0.18506,185874,1
9/24/2019,0.183,0.18819,0.1725,0.1725,0.1725,147572,2
9/25/2019,0.1749,0.2,0.1749,0.2,0.2,148154,1
9/26/2019,0.1915,0.1915,0.185,0.1851,0.1851,50394,1
9/27/2019,0.19,0.19,0.174,0.1847,0.1847,81883,1
9/30/2019,0.1723,0.1965,0.1723,0.17615,0.17615,49019,1
10/1/2019,0.18276,0.1965,0.18,0.195,0.195,127217,1
10/2/2019,0.17505,0.2244,0.17505,0.2,0.2,286869,1
10/3/2019,0.19005,0.2219,0.19005,0.2032,0.2032,22990,1
10/4/2019,0.2001,0.2069,0.1866,0.18769,0.18769,238807,1
10/7/2019,0.2,0.21831,0.2,0.2,0.2,22523,1
10/8/2019,0.214,0.214,0.1911,0.2112,0.2112,44946,1
10/9/2019,0.214,0.214,0.19,0.198,0.198,37760,1
10/10/2019,0.19475,0.205,0.1875,0.2,0.2,39401,1
10/11/2019,0.1999,0.2175,0.191,0.2175,0.2175,62247,1
10/14/2019,0.2175,0.2175,0.21208,0.2161,0.2161,59881,1
10/15/2019,0.215,0.2242,0.215,0.2242,0.2242,24020,1
10/16/2019,0.2242,0.2242,0.21668,0.21896,0.21896,16528,1
10/17/2019,0.22,0.22,0.21,0.22,0.22,78555,1
10/18/2019,0.2244,0.2244,0.21,0.2244,0.2244,30548,1
10/21/2019,0.2247,0.2247,0.21,0.21743,0.21743,8936,1
10/22/2019,0.2199,0.26,0.19,0.2499,0.2499,384107,1
10/23/2019,0.2575,0.2575,0.235,0.24451,0.24451,9360,1
10/24/2019,0.23567,0.2434,0.23567,0.2434,0.2434,19380,1
10/25/2019,0.23735,0.2494,0.2203,0.24029,0.24029,146105,1
10/28/2019,0.2494,0.2494,0.2474,0.2474,0.2474,6376,1
