Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2016-02-25,957.0,957.0,941.7,944.4,947.62,332961.0,6898.0,315520952.0,180413.0,54.18,15.3,-12.6
2016-02-24,946.3,959.0,942.55,952.55,954.39,1457649.0,9209.0,1391167439.0,1262542.0,86.61,16.45,6.25
2016-02-23,964.0,966.9,943.05,950.7,957.7,1794728.0,9348.0,1718813062.0,1569863.0,87.47,23.85,-13.3
2016-02-22,945.9,967.9,945.05,962.45,961.5,218870.0,7756.0,210443969.0,46690.0,21.33,22.85,16.55
2016-02-19,941.15,952.45,937.8,944.55,945.18,186168.0,7112.0,175963011.0,21374.0,11.48,14.65,3.4
2016-02-18,962.0,967.75,936.3,941.15,950.8,243498.0,9004.0,231518641.0,41642.0,17.1,31.45,-20.85
2016-02-17,933.4,956.0,917.1,952.45,937.88,365447.0,12080.0,342745051.0,60239.0,16.48,38.9,19.05
2016-02-16,952.8,958.0,927.0,929.65,942.27,307379.0,10116.0,289633256.0,33676.0,10.96,31.0,-23.15
2016-02-15,921.0,949.95,920.0,944.65,939.91,288882.0,9957.0,271523542.0,59296.0,20.53,29.95,23.65
2016-02-12,931.05,933.0,888.5,906.3,907.51,681300.0,23393.0,618286269.0,159288.0,23.38,44.5,-24.75
2016-02-11,963.0,966.0,916.25,922.45,937.68,563005.0,17182.0,527917896.0,168980.0,30.01,49.75,-40.55
2016-02-10,951.25,972.9,948.95,962.4,962.95,495104.0,10785.0,476759872.0,208627.0,42.14,23.95,11.15
2016-02-09,951.1,968.5,950.35,956.6,961.09,359167.0,13866.0,345192676.0,65476.0,18.23,18.15,5.5
2016-02-08,971.9,984.25,957.7,961.6,972.95,311940.0,10638.0,303500714.0,81347.0,26.08,26.55,-10.3
2016-02-05,976.3,982.0,963.0,972.3,971.21,329859.0,11897.0,320363219.0,43016.0,13.04,19.0,-4.0
2016-02-04,990.0,1000.0,968.0,973.95,982.27,305249.0,12485.0,299835837.0,46843.0,15.35,32.0,-16.05
2016-02-03,988.1,993.2,975.0,980.7,984.32,344712.0,10610.0,339305247.0,70638.0,20.49,18.2,-7.4
2016-02-02,1031.0,1032.0,990.3,1002.0,1012.89,367070.0,11152.0,371802976.0,103173.0,28.11,41.7,-29.0
2016-02-01,1040.0,1041.0,1025.15,1028.1,1032.21,216574.0,7112.0,223549438.0,44724.0,20.65,15.85,-11.9
2016-01-29,1020.0,1039.4,1018.85,1035.05,1031.59,280811.0,10044.0,289683040.0,87594.0,31.19,20.55,15.05
2016-01-28,1000.0,1021.75,997.75,1016.9,1009.91,279598.0,10218.0,282369616.0,84484.0,30.22,24.0,16.9
2016-01-27,1007.95,1009.7,996.15,999.35,1003.41,213280.0,8067.0,214006848.0,73187.0,34.31,13.55,-8.6
2016-01-25,1008.2,1018.4,1000.15,1004.8,1009.97,276184.0,9008.0,278936317.0,68788.0,24.91,18.25,-3.4
2016-01-22,995.0,1010.15,994.75,1003.95,1003.46,344318.0,12402.0,345508153.0,63959.0,18.58,15.4,8.95
2016-01-21,1016.3,1025.7,978.15,984.9,993.95,921299.0,29044.0,915724014.0,128409.0,13.94,47.55,-31.4
2016-01-20,1040.5,1040.5,990.5,1004.35,1008.48,1181912.0,39978.0,1191939255.0,253635.0,21.46,50.0,-36.15
2016-01-19,1025.0,1049.0,1015.2,1043.6,1036.09,539474.0,16545.0,558943754.0,130857.0,24.26,33.8,18.6
2016-01-18,1073.05,1082.45,1010.1,1018.0,1049.19,577065.0,17691.0,605451248.0,127804.0,22.15,72.35,-55.05
2016-01-15,1070.0,1089.5,1066.0,1073.15,1081.11,806191.0,23298.0,871579307.0,274625.0,34.06,23.5,3.15
2016-01-14,1062.1,1081.0,1052.4,1061.2,1067.51,590916.0,15788.0,630811096.0,117342.0,19.86,28.6,-0.9
2016-01-13,1054.8,1087.4,1019.35,1077.35,1059.95,1418406.0,27783.0,1503435852.0,482983.0,34.05,68.05,22.55
2016-01-12,1054.0,1065.0,1041.05,1045.1,1052.99,451258.0,14934.0,475169783.0,104846.0,23.23,23.95,-8.9
2016-01-11,1011.0,1059.95,1011.0,1051.55,1048.11,861434.0,22283.0,902875491.0,287653.0,33.39,48.95,40.55
2016-01-08,1019.0,1032.15,1000.05,1024.05,1003.97,7008317.0,27081.0,7036109338.0,6184723.0,88.25,32.1,5.05
2016-01-07,1023.8,1027.6,1008.25,1011.55,1015.48,374543.0,9578.0,380342337.0,53481.0,14.28,19.35,-12.25
2016-01-06,1005.0,1038.0,1000.55,1031.95,1027.96,949981.0,31274.0,976537851.0,305282.0,32.14,37.45,26.95
2016-01-05,1002.0,1010.0,996.85,1005.1,1004.67,294671.0,5588.0,296046692.0,102135.0,34.66,13.15,3.1
2016-01-04,1006.0,1014.2,987.3,995.4,999.48,273627.0,8604.0,273485905.0,49267.0,18.01,26.9,-10.6
2016-01-01,1010.0,1020.0,1008.75,1015.35,1016.57,328595.0,6141.0,334038883.0,179023.0,54.48,11.25,5.35
2015-12-31,1004.0,1017.0,1000.0,1012.6,1009.31,241436.0,8165.0,243683212.0,66299.0,27.46,17.0,8.6
2015-12-30,1015.7,1017.0,1002.1,1004.85,1007.89,103873.0,3532.0,104692809.0,28103.0,27.06,14.9,-10.85
2015-12-29,1013.0,1018.5,1007.5,1015.15,1013.89,248983.0,6346.0,252442440.0,119230.0,47.89,11.0,2.15
2015-12-28,1004.0,1013.55,1001.0,1008.55,1008.7,291670.0,7068.0,294207323.0,114899.0,39.39,12.55,4.55
2015-12-24,1005.5,1008.0,996.1,1000.9,1000.79,146409.0,5043.0,146524810.0,50625.0,34.58,11.9,-4.6
2015-12-23,993.4,1006.0,990.9,1003.55,1003.51,227045.0,7718.0,227841694.0,77454.0,34.11,15.1,10.15
2015-12-22,991.1,1002.5,984.0,987.5,993.86,263406.0,6907.0,261788085.0,71015.0,26.96,18.5,-3.6
2015-12-21,988.55,998.2,985.0,992.25,991.46,267805.0,7715.0,265518115.0,58657.0,21.9,13.2,3.7
2015-12-18,1003.0,1009.0,990.15,992.05,997.99,252773.0,7715.0,252265304.0,67770.0,26.81,18.85,-10.95
2015-12-17,980.25,1013.25,978.0,1008.35,995.03,574220.0,14343.0,571365630.0,251885.0,43.87,35.25,28.1
2015-12-16,973.4,986.9,973.4,978.0,980.69,187540.0,6813.0,183918037.0,44272.0,23.61,13.5,4.6
2015-12-15,956.0,977.9,953.0,975.9,969.14,244609.0,9608.0,237060730.0,72164.0,29.5,24.9,19.9
2015-12-14,946.5,962.7,946.5,955.45,955.87,252147.0,6800.0,241019420.0,52815.0,20.95,16.2,8.95
2015-12-11,950.1,958.85,942.9,952.25,950.74,370539.0,10566.0,352287797.0,118416.0,31.96,15.95,2.15
